Title,trackId,Popularity,Artist,artistId,Top Year,Genre,Speechiness,Acousticness,Liveness,Danceability,Energy,Loudness,Valence,Duration,BPM,ImageURL,SpotifyURL,Release Date
Hard,3YJkAQNEhmCZGLdmPsu6Ye,55,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,barbadian pop,0.111,0.0121,0.649,0.31,0.746,-3.599,0.163,250600,182.032,https://i.scdn.co/image/ab67616d0000b273ab647295c0c97446c1f1a3b5,https://open.spotify.com/track/3YJkAQNEhmCZGLdmPsu6Ye,2009
All Time Low,4kPf4MbDp81GfVHLISdByL,56,The Wanted,2NhdGz9EDv2FeUw6udu2g1,2010,boy band,0.052,0.35,0.0789,0.69,0.617,-5.022,0.787,205200,134.023,https://i.scdn.co/image/ab67616d0000b273d086010b540710f8568fc17b,https://open.spotify.com/track/4kPf4MbDp81GfVHLISdByL,2010
Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,75,Flo Rida,0jnsk9HBra6NMjO2oANoPY,2010,dance pop,0.0327,0.0283,0.064,0.616,0.869,-3.911,0.473,234560,127.966,https://i.scdn.co/image/ab67616d0000b273c0ddb38854cde41708d606a1,https://open.spotify.com/track/6ebkx7Q5tTxrCxKq4GYj0Y,2010
Can't Be Tamed,2r6DdaSbkbwoPzuK6NjLPn,63,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2010,dance pop,0.144,0.0287,0.196,0.63,0.91,-2.919,0.743,168213,116.98,https://i.scdn.co/image/ab67616d0000b273478199f575bbfd53cda89090,https://open.spotify.com/track/2r6DdaSbkbwoPzuK6NjLPn,2010
Starry Eyed,14OF4JQOIm4hb0GfG5nfyF,55,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,2010,dance pop,0.0389,0.135,0.324,0.504,0.814,-5.346,0.596,176613,149.967,https://i.scdn.co/image/ab67616d0000b27348486cfed067dfb1649dc051,https://open.spotify.com/track/14OF4JQOIm4hb0GfG5nfyF,2010
Pass Out,4Q4K8fikwOmZYmz82Wco4w,45,Tinie Tempah,0Tob4H0FLtEONHU1MjpUEp,2010,dance pop,0.296,0.0281,0.143,0.693,0.891,-3.261,0.532,268053,91.1,https://i.scdn.co/image/ab67616d0000b2733ce578a2506275604c9dbc87,https://open.spotify.com/track/4Q4K8fikwOmZYmz82Wco4w,2010
Whatcha Say,67T6l4q3zVjC5nZZPXByU8,66,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,2010,dance pop,0.0779,0.0444,0.145,0.615,0.711,-5.507,0.711,221253,144.036,https://i.scdn.co/image/ab67616d0000b273c7b1b93cd2dcb8d528a30a1d,https://open.spotify.com/track/67T6l4q3zVjC5nZZPXByU8,2010
For the First Time,09ZcYBGFX16X8GMDrvqQwt,61,The Script,3AQRLZ9PuTAozP28Skbq8V,2010,celtic rock,0.0287,0.0328,0.183,0.396,0.629,-4.78,0.358,252853,173.794,https://i.scdn.co/image/ab67616d0000b273888241dbe5fdf3de9cb3d12f,https://open.spotify.com/track/09ZcYBGFX16X8GMDrvqQwt,2011
Right Above It,1kMuU3TNQvHbqvXCWBodmP,68,Lil Wayne,55Aa2cqylxrFIXC767Z865,2010,hip hop,0.356,0.0435,0.578,0.376,0.841,-4.348,0.463,271947,76.052,https://i.scdn.co/image/ab67616d0000b273229411bccce65156241b6190,https://open.spotify.com/track/1kMuU3TNQvHbqvXCWBodmP,2010
Take It Off,0WCiI0ddWiu5F2kSHgfw5S,68,Kesha,6LqNN22kT3074XbTVUrhzX,2010,dance pop,0.0286,4.14e-05,0.0867,0.729,0.675,-5.292,0.74,215200,125.036,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,https://open.spotify.com/track/0WCiI0ddWiu5F2kSHgfw5S,2010
Seek Bromance (Avicii Vocal Edit),5BIgbz2Dy7X2I0bnkKH9Mb,49,Tim Berg,7iLc4hrjOjQPfg1E3cCHg1,2010,edm,0.044,0.0896,0.0898,0.49,0.811,-2.524,0.547,200992,125.965,https://i.scdn.co/image/ab67616d0000b273059fc1c7a6a477c625ac1300,https://open.spotify.com/track/5BIgbz2Dy7X2I0bnkKH9Mb,2010
Higher,0QVAlchLCx15ZLSoR9Wg1B,57,The Saturdays,15qI5w4XJFLRMwOp2VrlD5,2010,dance pop,0.0341,0.049,0.264,0.639,0.862,-3.292,0.596,207613,117.011,https://i.scdn.co/image/ab67616d0000b273306a4ea6e5ead6942fd8818c,https://open.spotify.com/track/0QVAlchLCx15ZLSoR9Wg1B,2010
